MenasceOptimizationApproach,1.0,3.0,48.27656725146199,48.21230689136044,48.34077464182525,2.512832071331065,57.0,53.65,42.81666666666667,0.07310236154832775,-0.48027397536742056,51.79056666666667,44.97173333333333,-1.0,0.13438481778713326,0.0,0.21399574971772226,0.1665489446821348,7601.0,2.161,0.0,2.764215564035057,11.937938096158021,0.333,0.007,-1.0,0.13079962370649106,0.0,0.20772626341096995,0.1613851268608774,7441.0,2.2,0.0,2.9518005604462414,14.461950298287647,0.3228000000000002,0.008,-1.0,0.13364313725490196,0.0,0.21140397705468228,0.16381325389904008,7395.0,1.711,0.0,2.8454844505086574,12.685004890169424,0.3308000000000011,0.008,-1.0,133.35087719298247,132.69801803325498,133.9848773870434,13.134593402905518,57.0,160.0,104.0,-0.28941292435949345,-0.6881583153346709,150.0,114.8,-1.0,130.54385964912282,130.0231334918309,131.05302261619954,11.643622066912545,57.0,154.00000000000003,102.0,-0.19504906686620738,-0.1271404064034587,147.2,115.4,-1.0,129.73684210526315,129.3307689992106,130.1383204753325,10.305210741224686,57.0,151.0,106.0,-0.05558307848982724,-0.20514963156696808,143.2,116.2,-1.0,
MenasceOptimizationApproach,1.0,3.0,73.63490643274854,73.56037715762908,73.7087529164088,3.327928985325049,57.0,80.06833333333334,65.23649999999999,-0.21883728089407994,-0.12638722706261918,78.45666666666666,69.7812,-1.0,0.06869361283982968,0.0,0.12401765086803503,0.10325823821684646,15265.0,1.413,0.0,3.351949172727616,17.054730899964593,0.181,0.001,-1.0,0.06646086163071108,0.0,0.11714863122916055,0.09647467175183301,15343.0,1.592,0.0,3.205548924131431,17.13955646805529,0.176,0.001,-1.0,0.35050102004924377,0.0,0.5604419061906106,0.4373301039178752,14215.0,5.85,0.0,2.6940973623956306,10.985897767357375,0.885,0.019,-1.0,267.8070175438597,267.4154504688184,268.1977864032046,14.601172404604105,57.0,300.0,240.0,0.039995178084642875,-0.584628426477956,286.2,244.99999999999997,-1.0,269.17543859649123,268.77835127722943,269.5685636833713,14.682500282184257,57.0,296.0,238.0,-0.18660969030702196,-0.595293232293475,289.6,248.20000000000002,-1.0,249.3859649122807,249.05033973701754,249.71910535429075,13.009274694239318,57.0,280.0,215.0,-0.07922405491752121,0.6742944678464009,266.2,236.0,-1.0,
KumarKalmanFilterApproach,1.0,3.0,20.29859649122807,20.254980288784825,20.342082105405062,1.3412097254812776,57.0,23.083333333333332,17.533333333333335,0.04753097012384698,-0.5994455955800664,22.346166666666665,18.41,-1.0,0.030710079894932695,0.0,0.04651679473250133,0.0349404750919944,9137.0,0.353,0.0,2.540913839053928,10.561701424500395,0.07320000000000072,0.001,-1.0,0.03035201595037661,0.0,0.046363942856107676,0.035050055667174285,9028.0,0.354,0.0,2.4424488528372654,9.016439783447964,0.073,0.001,-1.0,0.030582509505703424,0.0,0.04621300375931529,0.03464797606086242,9205.0,0.362,0.0,2.396247390182718,8.929675613223509,0.073,0.001,-1.0,160.2982456140351,159.7856833564591,160.78911763821952,12.665990616439732,57.0,186.0,126.0,-0.6637365602862904,0.2011391540397529,174.0,141.6,-1.0,158.3859649122807,157.88147322966628,158.87532351203137,12.570876753667173,57.0,179.0,129.0,-0.4439619209777211,-0.46103131479525317,174.0,140.6,-1.0,161.49122807017545,161.0709697873184,161.9022338738207,11.631427266274185,57.0,186.0,133.0,-0.33314798700995524,-0.30127761522536334,176.2,147.4,-1.0,
KumarKalmanFilterApproach,1.0,3.0,48.90535087719298,48.81783104005979,48.99432454063412,2.9775891733751667,57.0,58.26833333333334,43.71666666666667,0.5645743972187495,0.5447329687890394,53.31386666666667,45.10653333333334,-1.0,0.13727900403768506,0.0,0.2217532922214142,0.17416394625643125,7430.0,1.751,0.0,3.0430268942249254,13.650958407375814,0.327,0.008,-1.0,0.1406557114228457,0.0,0.22748622162391238,0.178802189896405,7485.0,2.406,0.0,3.110651228260356,15.528306238161786,0.338,0.008,-1.0,0.13674242833964304,0.0,0.2199045889892195,0.17223108693190498,7396.0,1.87,0.0,3.029512260722578,14.425178392467284,0.326,0.009,-1.0,130.35087719298247,129.8914666585976,130.81284340614266,11.081663148885342,57.0,158.0,107.00000000000001,0.269460311559078,-0.23866976437097875,145.0,116.8,-1.0,131.31578947368422,130.93904520036506,131.69415657952703,10.064360555120164,57.0,153.0,111.0,0.23353726966715738,-0.39289574942975936,146.2,119.8,-1.0,129.75438596491227,129.213957548536,130.29319164666157,11.942243002041094,57.0,161.0,104.0,0.125867310378025,-0.37261351701391376,147.0,115.0,-1.0,
MenasceOptimizationApproach,1.0,3.0,75.15795555555556,74.99760409603296,75.31543274607606,4.908946495888686,60.0,83.36666666666666,60.46666666666667,-0.26703856176265073,0.21210643639662718,82.52368333333334,69.71833333333333,-1.0,0.3914864532019704,0.0,0.6493033282863259,0.5180442952468545,7308.0,5.527,0.0,2.9990028038965155,13.78451548245108,1.009,0.019,-1.0,0.38375123626373625,0.0,0.6211816839524688,0.4885022544490986,7280.0,4.364,0.0,2.705967328729202,10.30724590412516,0.9699000000000005,0.02,-1.0,0.39360393569844787,0.0,0.6612008881329862,0.5313206921436092,7216.0,6.318,0.0,3.142129686162737,14.957384551277084,0.9949000000000006,0.018,-1.0,121.8,121.48786188771024,122.1149731468941,8.839050489691868,60.0,145.0,104.0,0.3517524313290111,0.11499784257021872,132.0,110.0,-1.0,121.33333333333333,120.89409621143028,121.76835932759106,10.370536273446522,60.0,142.0,98.0,-0.001753714140968796,-0.33549646370919817,136.6,107.20000000000002,-1.0,120.26666666666667,119.76753777667236,120.78148312827868,11.233827044088635,60.0,154.00000000000003,99.0,0.7225971564703345,0.492869540343281,135.8,106.2,-1.0,
MenasceOptimizationApproach,1.0,2.0,75.10057222222223,75.08147495004036,75.11969689748119,1.7092709906724264,60.0,79.09366666666666,71.31933333333333,0.14427451008127604,-0.2289708228781575,77.48071666666667,72.95564999999999,-1.0,0.07310264665144313,0.0,0.1265972351823972,0.1033589036725001,53426.0,1.625,0.0,3.0291545079113416,14.907680341684616,0.194,0.001,-1.0,0.07329193054136877,0.0,0.127904704259521,0.10482418785048765,53845.0,1.477,0.0,3.076997804417315,14.761590459486717,0.194,0.001,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.4333333333333,890.1229935015384,890.7431915728199,23.691067233593905,60.0,940.0,842.0,-0.046293913837517534,-0.79130909382785,922.9,860.1,-1.0,897.4166666666666,897.1869124501063,897.6464133127996,20.47925090217228,60.0,941.0,853.0,0.03668797796533969,-0.7253990591748973,924.9,871.1000000000001,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MenasceOptimizationApproach,1.0,3.0,73.52413157894736,73.44153918844867,73.60704316027599,3.52373601081938,57.0,81.31666666666666,66.622,0.21853814757248186,-0.3320241186713453,78.48416666666668,68.57736666666666,-1.0,0.06618310225867344,0.0,0.11794652049248029,0.09763093316341845,15363.0,1.452,0.0,3.370590786482775,18.12147666343127,0.173,0.001,-1.0,0.06651778140293638,0.0,0.11851222443674735,0.09808751146974769,15325.0,1.279,0.0,3.370202681329611,17.79434443485303,0.174,0.001,-1.0,0.341835352966042,0.0,0.541504744971145,0.4199861988905134,14194.0,4.722,0.0,2.7215381880354674,11.523723861989424,0.852,0.019,-1.0,269.5263157894737,269.02985526614066,270.01971987765455,16.461107043962198,57.0,304.0,234.0,-0.04928052806361607,-0.6442991584191651,290.4,244.99999999999997,-1.0,268.859649122807,268.23843925975774,269.4786714861956,18.417226598730128,57.0,311.0,232.0,0.05436693623610128,-0.34362142689164443,291.40000000000003,243.2,-1.0,249.01754385964912,248.7040122436772,249.32688330150464,12.52638818664448,57.0,278.00000000000006,217.0,-0.2942692120952009,0.2831629344643609,263.80000000000007,231.0,-1.0,
MenasceOptimizationApproach,1.0,3.0,73.16872126436782,73.0637146364826,73.27488292488532,3.9773666223917705,58.0,83.12166666666667,65.55633333333334,0.42543794287922043,-0.04666704765047003,78.92,68.30833333333334,-1.0,0.06581095395351734,0.0,0.11686270371560244,0.0965732415278976,16049.0,1.339,0.0,3.2919284651259533,16.388591716384937,0.172,0.001,-1.0,0.33671748364911336,0.0,0.5353677656792137,0.4162351047884995,14831.0,5.868,0.0,2.7866845598613494,12.841833005659222,0.8318000000000011,0.019,-1.0,0.05057027664061529,0.0,0.09053458511994494,0.07509665788397918,16122.0,1.007,0.0,3.3629505402422164,17.842870684176166,0.134,0.001,-1.0,276.7068965517241,276.3351430792965,277.07832205303276,14.467154111793166,58.0,312.0,239.0,0.10145496351970586,0.31699928714277226,295.2,256.0,-1.0,255.70689655172413,255.4420222958256,255.97410294658783,11.795045972690513,58.0,286.0,234.0,0.3883021960635916,-0.1455571123083943,272.2,240.0,-1.0,277.9655172413793,277.50744397155074,278.42023559038756,16.044855454938602,58.0,324.0,237.0,-0.053773857773372284,0.4192266311579682,297.0,255.9,-1.0,
ResponseTimeRegressionApproach,1.0,2.0,20.915633333333332,20.739020458424555,21.092878383293833,2.753849298200911,55.0,28.166666666666668,15.183333333333334,0.3277194087278902,0.07875689858071055,25.0077,17.012233333333334,-1.0,0.15577943313953488,0.0,0.23163049856047052,0.1714530192508147,2752.0,1.799,0.0,2.5412944936452955,10.70089021350455,0.36970000000000025,0.01230000000000001,-1.0,0.15678105184632599,0.0,0.23653874869556732,0.1771496168364786,2681.0,1.927,0.0,2.548502337636495,10.188449614705329,0.372,0.013,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.03636363636364,49.271833703765196,50.77579953266928,8.713471129497082,55.0,72.0,32.0,0.08693354290007148,0.019304950027557055,61.4,37.0,-1.0,48.74545454545454,48.20070303127557,49.302590748818204,7.459069006096568,55.0,67.0,34.0,0.5196113653876461,-0.1846338328511501,60.199999999999996,40.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MenasceOptimizationApproach,1.0,3.0,49.27250292397661,49.15876729107766,49.385798714534474,3.373006040389374,57.0,56.583333333333336,42.36116666666667,0.02456480588127103,-0.8235143487794678,54.0153,44.36946666666667,-1.0,0.04258695652173912,0.0,0.07257457479349004,0.05876967837821421,7590.0,0.748,0.0,3.238048539931679,16.055926321056106,0.106,0.001,-1.0,0.22873692098092643,0.0,0.3536309000748369,0.2697112254141018,7340.0,2.986,0.0,2.640932474913831,10.513476937603764,0.55,0.017,-1.0,0.13637598632298792,0.0,0.21536257947124166,0.16669218685303208,7604.0,1.859,0.0,2.6757443606012448,10.294852660128505,0.3325,0.008,-1.0,133.1578947368421,132.76333286575075,133.55647993764035,10.402248166492338,57.0,159.0,115.0,0.34873245300200756,-0.3499381448068104,146.20000000000002,120.4,-1.0,128.7719298245614,128.33191991405346,129.1972516138072,10.56783790540844,57.0,147.0,99.0,-0.4578021896799644,-0.05416829069057405,142.0,113.0,-1.0,133.40350877192984,132.99657709420168,133.81422052246572,10.569260768046052,57.0,157.0,114.0,0.341678579611681,-0.1646727654501472,149.4,117.8,-1.0,
