0;0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1;numberOfRessources;numberOfWorkloadClasses;varianceInflationFactor;utilizationArtihmeticMean;
NA;0.34514817;0.34514817;0.34514817;0.34514817;0.34514817;0.34514817;0.34514817;0.34514817;0.34514817;0.34514817;1;3;1.95766161;74.83406738;
NA;3.08225696;2.92536659;2.78411508;2.65560891;2.63383404;2.63383404;2.63383404;2.63383404;2.63383404;2.63383404;1;3;1.32754962;73.73900862;
NA;0.48264837;0.48887509;0.5006451;0.51583409;0.53325645;0.54406006;0.54406006;0.54406006;0.54406006;0.54406006;1;3;1.90794193;75.15795556;
NA;3.44401949;3.32017436;3.21284493;3.13077732;3.0822313;3.07530595;3.07530595;3.07530595;3.07530595;3.07530595;1;3;1.58898487;74.08775287;
NA;0.58368258;0.58382202;0.58382202;0.58382202;0.58382202;0.58382202;0.58382202;0.58382202;0.58382202;0.58382202;1;2;1.59247738;74.26592896;
NA;3.2756351;3.07834294;2.90989017;2.8581989;2.82588622;2.79365541;2.76225191;2.76050571;2.76050571;2.76050571;1;3;1.44727879;74.78577083;
NA;1.6315305;1.49126676;1.3847562;1.31651729;1.24834874;1.22057999;1.21862659;1.21285634;1.2045464;1.20419822;1;3;1.3439355;73.16872126;
NA;0.36909382;0.36909382;0.36909382;0.36909382;0.36909382;0.36909382;0.36909382;0.36909382;0.36909382;0.36909382;1;2;1.56221183;74.11695;
NA;3.69246331;3.57608661;3.44947537;3.33765349;3.30051736;3.30051736;3.30051736;3.30051736;3.30051736;3.30051736;1;3;1.59752211;73.88461494;
NA;3.42215258;3.30305154;3.20386123;3.13163893;3.09173872;3.09173872;3.09173872;3.09173872;3.09173872;3.09173872;1;3;1.69296165;74.14941954;
NA;0.18288967;0.16651352;0.15579954;0.15362749;0.15366921;0.15366921;0.15366921;0.15366921;0.15366921;0.15366921;1;2;1.39676257;74.90328689;
NA;1.55435145;1.47948392;1.40659981;1.33409313;1.26643356;1.20630205;1.15514868;1.11611985;1.09035279;1.08734225;1;3;1.43961189;73.57154762;
NA;2.32068215;2.3307047;2.35051714;2.35524815;2.35524815;2.35524815;2.35524815;2.35524815;2.35524815;2.35524815;1;3;1.22887514;73.44515789;
NA;0.26391518;0.25886819;0.25743575;0.25743575;0.25743575;0.25743575;0.25743575;0.25743575;0.25743575;0.25743575;1;3;1.46615904;75.72592453;
NA;0.41380909;0.38995806;0.36421778;0.34257952;0.32478415;0.30890882;0.29426738;0.28104142;0.271782;0.26396751;1;3;1.38069117;74.89784746;
NA;0.75022578;0.77387;0.78709059;0.78523558;0.7849316;0.7849316;0.7849316;0.7849316;0.7849316;0.7849316;1;2;1.28542828;73.84662366;
NA;3.6345257;3.56375362;3.52375187;3.49865414;3.47939891;3.46371634;3.46371634;3.46371634;3.46371634;3.46371634;1;3;1.21795258;75.77598538;
NA;3.77991827;3.58579607;3.50912067;3.50912067;3.50912067;3.50912067;3.50912067;3.50912067;3.50912067;3.50912067;1;3;1.28951722;75.26167251;
NA;2.84546351;2.79974737;2.79819513;2.81885359;2.81614659;2.80932391;2.81992893;2.83052254;2.8338139;2.8338139;1;3;1.20935652;74.29316379;
NA;1.89162019;1.84798799;1.80396548;1.7613623;1.72285271;1.69820703;1.69478401;1.69478401;1.69478401;1.69478401;1;3;1.03762133;72.89236012;
NA;3.31192003;3.08226746;2.90286708;2.7602636;2.65271989;2.54904537;2.51609264;2.51609264;2.51609264;2.51609264;1;3;1.33557046;73.12019298;
NA;0.19715987;0.19036516;0.18964335;0.19215118;0.19641338;0.20191375;0.20772054;0.21361031;0.21943557;0.22454922;1;3;1.42194104;76.29968079;
